Node,count,Latitude,Longitude
N124,83,37.95828312,-121.5290489
N417,60,38.07952075,-121.8830473
N268,71,38.11619167,-121.4973321
N469,428,38.04912573,-121.6950811
N356,369,38.04634564,-121.886909
N19,4,37.95486541,-121.3481365
N348,4,38.16399737,-121.607035
CVP_N181,19,37.79717011,-121.58535
N34,66,38.05380301,-121.5180757
N271,122,38.13001978,-121.575441
N38,729,38.07762338,-121.5711345
Exit_N361,341,38.03409821,-122.1374576
N94,252,37.98237359,-121.5816584
N82,227,37.91385659,-121.5640199
SWP_CCF,121,37.838645,-121.575784
Chipps_N356,369,38.04634564,-121.886909
N256,26,38.23662422,-121.4981807
N118,42,37.92038237,-121.5172517
