Year,Season,Species,Biovolume
1999,spring,green,1
1999,summer,green,2
1999,fall,green,3
1999,winter,green,4
2000,spring,green,5
2000,summer,green,3
2000,fall,green,23
2000,winter,green,2
2001,spring,green,43
2001,summer,green,2
2001,fall,green,3
2001,winter,green,45
2002,spring,green,7
2002,summer,green,9
2002,fall,green,324
2002,winter,green,34
1999,spring,blue,6
1999,summer,blue,7534
1999,fall,blue,34
1999,winter,blue,232
2000,spring,blue,5
2000,summer,blue,6
2000,fall,blue,72
2000,winter,blue,34
2001,spring,blue,23
2001,summer,blue,423
2001,fall,blue,43
2001,winter,blue,3
2002,spring,blue,3
2002,summer,blue,45
2002,fall,blue,32
2002,winter,blue,6
1999,spring,purple,4
1999,summer,purple,234
1999,fall,purple,234
1999,winter,purple,23
2000,spring,purple,12
2000,summer,purple,312
2000,fall,purple,23
2000,winter,purple,41
2001,spring,purple,21
2001,summer,purple,32
2001,fall,purple,45
2001,winter,purple,6
2002,spring,purple,2
2002,summer,purple,231
2002,fall,purple,23
2002,winter,purple,32
