Stream,Date,Habitat,Length,Width,Depth,Velocity,Cobble,Gravel
L Ball Crk,22-Jul-09,Run,14.5,4.5,0.265,0.083,15,30
L Ball Crk,22-Jul-09,Riffle,12.3,4.2,0.15,0.19,30,30
L Ball Crk,22-Jul-09,Riffle,18,2.2,0.135,0.29,30,40
L Ball Crk,22-Jul-09,Pool,7,6.8,0.6,0.03,10,5
L Ball Crk,22-Jul-09,Riffle,11.4,5.9,0.1,0.26,40,30
L Ball Crk,22-Jul-09,Run,14,,0.18,0.21,20,35
L Ball Crk,22-Jul-09,Run,5.3,4.7,0.17,0.19,30,30
L Ball Crk,22-Jul-09,Pool,5.2,3.7,0.31,0.12,35,0
L Ball Crk,22-Jul-09,Pool,10,3.8,NA,0.11,0,0
High White Crk (WTSD 14),23-Jul-09,Riffle,14,1.6,0.073,0.28,30,25
High White Crk (WTSD 14),23-Jul-09,Riffle,13.3,1.6,0.07,0.22,20,20
High White Crk (WTSD 14),23-Jul-09,Pool,12.4,2,0.073,0.25,20,30
High White Crk (WTSD 14),23-Jul-09,Pool,14.7,5,0.17,0.2,5,15
High White Crk (WTSD 14),23-Jul-09,Pool,14.2,6.1,0.1,0.24,15,10
Ball Crk,22-Jul-09,Pool,10.5,4,0.09,0.14,20,30
Ball Crk,22-Jul-09,Pool,10.3,3,NA,0.11,20,20
Ball Crk,22-Jul-09,Pool,9.5,2.3,0.21,0.05,20,10
U Ball Crk,22-Jul-09,Pool,9.6,1.3,0.07,0.13,5,15
U Ball Crk,22-Jul-09,Pool,13.4,1.6,0.1,0.033,5,15
U Ball Crk,22-Jul-09,Pool,7.9,2.1,0.24,0.06,5,5
WTSD 7,23-Jul-09,Riffle,18,2.3,0.12,0.32,30,30
WTSD 7,23-Jul-09,Pool,4.6,1.6,0.31,0.66,20,5
WTSD 7,23-Jul-09,Riffle,12.2,1.3,0.11,0.14,25,35
WTSD 7,23-Jul-09,Pool,NA,1.7,0.11,0.35,15,5
WTSD 7,23-Jul-09,Pool,7.4,1.4,0.093,0.103,20,30
WTSD 7,23-Jul-09,Riffle,10.5,1.6,0.13,0.44,15,35
L Drymans Fork,23-Jul-09,Run,23.4,4.26,0.17,0.26,90,NA
L Drymans Fork,23-Jul-09,Pool,13,3.83,0.38,0.14,55,20
L Drymans Fork,23-Jul-09,Pool,9.5,4.67,0.4,0.11,15,5
L Drymans Fork,23-Jul-09,Riffle,18.3,3.87,0.15,0.3,70,20
L Drymans Fork,23-Jul-09,Riffle,20.5,4.76,0.15,0.36,80,10
L Drymans Fork,23-Jul-09,Pool,11.5,4,0.31,0.13,40,15
L Drymans Fork,23-Jul-09,Riffle,12.5,4.8,0.23,0.45,NA,25
L Drymans Fork,23-Jul-09,Riffle,14,3.1,0.2,0.45,40,25
L Drymans Fork,23-Jul-09,Run,7.9,3.1,0.35,0.29,30,30
Howards Branch,23-Jul-09,Run,7.6,NA,0.1,0.24,5,10
Howards Branch,23-Jul-09,Pool,11.2,1.2,0.13,0.19,10,5
Howards Branch,23-Jul-09,Riffle,11,2.53,0.093,0.2,25,5
Howards Branch,23-Jul-09,Pool,14.3,1.63,0.1,0.14,20,10
Howards Branch,23-Jul-09,Run,12.5,2.03,0.077,0.17,5,5
Howards Branch,23-Jul-09,Riffle,10.3,1.83,0.09,0.3,20,20
Howards Branch,23-Jul-09,Run,8.6,2.07,0.06,0.25,5,0
Howards Branch,23-Jul-09,Riffle,8.4,2.23,0.063,0.173,30,25
Howards Branch,23-Jul-09,Pool,3,3.9,0.073,0.11,5,0
Sheppard Crk,5-Aug-09,Riffle,14.9,1.76,0.16,0.38,30,30
Sheppard Crk,5-Aug-09,Run,6.2,1.44,0.13,0.39,25,50
Sheppard Crk,5-Aug-09,Riffle,15.9,1.43,0.13,0.58,45,30
Sheppard Crk,5-Aug-09,Riffle,NA,1.45,0.096,0.55,55,25
Sheppard Crk,5-Aug-09,Run,7,1.42,0.18,0.316,30,0
Sheppard Crk,5-Aug-09,Run,9.3,1.74,0.164,0.218,30,5
