Date,JDay,Month,Day,Year,WY,RPNTmax,RPNTmin,RPNTmean,RPN7DADM,RPNDOmax,RPNDOmin,RPNDOmean,OBBmax,OBBmin,OBBmean,OBB7DADM,OwlCmax,OwlCmin,OWLcmean,OwlC7DADM,57,55
6/1/2015,42156,6,1,2015,2015,78.7,70.1,74.1,,8.9,7.7,8,68,62.7,65.5,,58.85,56.48,57.734375,,57,55
6/2/2015,42157,6,2,2015,2015,80.1,70.8,75.1,,8.8,7.7,8.05,68.6,63.8,66.2,,59,57.2,58.131875,,57,55
6/3/2015,42158,6,3,2015,2015,78.9,70.6,74.8,,8.8,7.5,8.004,68.3,64.1,66.2,,58.82,57.2,58.011875,,57,55
6/4/2015,42159,6,4,2015,2015,79.2,69.8,74.4,,9,7.7,8.142,68.3,63.2,65.8,,59,56.66,57.86375,,57,55
6/5/2015,42160,6,5,2015,2015,80.9,72,76.4,,8.7,7.5,7.933,68.2,64.4,66.4,,59.72,57.38,58.3475,,57,55
6/6/2015,42161,6,6,2015,2015,83.3,73.6,78.2,,8.6,7.2,7.742,68.5,64.3,66.6,,59.18,57.2,58.300625,,57,55
6/7/2015,42162,6,7,2015,2015,84.1,74.5,79.1,80.74285714,8.4,7.2,7.608,70.1,64.6,67.3,68.57142857,59.54,57.56,58.611875,59.15857143,57,55
6/8/2015,42163,6,8,2015,2015,87.2,76.8,81.8,81.95714286,8.1,6.9,7.329,71.9,66.4,69,69.12857143,60.62,58.82,59.60375,59.41142857,57,55
6/9/2015,42164,6,9,2015,2015,83.6,78.8,81,82.45714286,8.1,6.6,7.288,70.2,67.7,68.8,69.35714286,60.44,58.82,59.555,59.61714286,57,55
6/10/2015,42165,6,10,2015,2015,79.4,76.3,77.4,82.52857143,8.6,6.9,7.638,68.2,65.3,66.7,69.34285714,59.72,57.74,58.47875,59.74571429,57,55
6/11/2015,42166,6,11,2015,2015,83.4,73.1,77.8,83.12857143,8.8,7.3,7.883,70.9,65,67.7,69.71428571,60.08,58.1,59.045,59.9,57,55
6/12/2015,42167,6,12,2015,2015,86.5,76,81,83.92857143,8.4,6.9,7.467,72.1,67.1,69.5,70.27142857,60.08,59.18,59.69,59.95142857,57,55
6/13/2015,42168,6,13,2015,2015,87.8,78.1,82.7,84.57142857,8.1,6.6,7.167,73,67.8,70.3,70.91428571,60.62,59,59.66,60.15714286,57,55
6/14/2015,42169,6,14,2015,2015,85.5,76.4,81,84.77142857,8.2,6.7,7.275,72,67.1,69.7,71.18571429,60.08,58.1,59.133125,60.23428571,57,55
